gg- jaX kaX kaX kaX kaX kaX kaX kaX kaX kaX kaX kaX kaX kaX kaX ldX ckX dkX jdX kaX kaX kaX kaX kaX kaX kaX kaX kaX laX gg- gg- gg- gg- gg-
gg- jbX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- mfX akX bkX mfX gg- gg- gg- gg- gg- gg- gg- gg- mfX jcX ldX gg- gg- gg- gg-
gg- jbX gg- eiX fiX giX hiX iiX jiX kiX liX miX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- jbX gg- ejX fjX gjX hjX ijX jjX kjX ljX mjX gg- gg- gg- mdX mfX gg- gg- hgX igX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- jbX gg- ekX fkX gkX hkX ikX jkX kkX lkX mkX gg- mfX mfX meX mfX gg- gg- hhX ihX mfX gg- gg- mfX gg- gg- gg- mfX jaX ldX gg- gg- gg- gg-
gg- jbX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- lbX gg- gg- gg- gg- gg-
gg- jbX mfX mfX mfX mfX gg- gg- gg- jfX kfX gg- gg- mfX mfX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- lbX gg- gg- gg- gg- gg-
gg- jbX gg- gg- gg- gg- gg- gg- gg- jgX kgX gg- gg- gg- mfX gg- gg- mfX gg- gg- mfX gg- gg- gg- gg- gg- glX hlX ilX lbX gg- gg- gg- gg- gg-
gg- jbX gg- gg- gg- mfX gg- gg- gg- jhX khX gg- gg- gg- mfX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- dlX elX flX lbX gg- gg- gg- gg- gg-
gg- jbX gg- gg- fdX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- mfX ffX gfX ffX gfX mfX gg- gg- mfX gg- alX blX clX lbX gg- gg- gg- gg- gg-
gg- jbX gg- gg- feX gg- gg- gg- gg- gg- fdX gg- gg- gg- jaX kcX kcX kcX kcX kcX kcX ldX gg- gg- jdX kcX kcX kcX kcX ldX gg- gg- gg- gg- gg-
gg- jbX gg- gg- gg- gg- gg- gg- gg- gg- feX gg- jfX kfX lbX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- jbX hgX igX gg- gg- gg- gg- gg- gg- gg- gg- jgX kgX lbX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- jbX hhX ihX gg- gg- gg- gg- gg- gg- gg- gg- jhX khX lbX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- jcX kcX kcX kcX kcX kcX kcX kcX kcX kcX kcX kcX kcX lcX gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg- gg-
